國文,英文,數學,社會,自然
10,9,11,6,10
11,10,10,10,11
15,14,8,12,6
15,9,8,13,11
15,8,15,12,8
8,14,7,8,11
10,7,13,13,12
10,12,11,8,7
8,8,10,14,6
8,9,9,10,7
9,15,15,8,13
11,7,7,10,7
7,9,7,10,8
7,12,6,7,11
9,9,11,9,12
12,11,7,8,13
10,11,10,15,10
13,13,9,13,8
13,10,13,10,6
8,8,15,11,12
12,6,6,12,14
14,14,9,8,11
10,8,8,14,12
13,7,11,11,14
13,15,6,10,9
15,15,12,14,14
11,6,6,8,11
13,10,10,9,8
12,7,6,15,15
10,8,9,6,10
8,11,10,6,15
13,14,9,15,8
8,8,14,12,12
15,7,6,15,7
7,10,11,6,15
8,10,15,12,13
11,6,9,12,9
13,12,7,14,12
6,6,10,12,15
12,12,14,15,9
11,11,12,9,10
14,8,15,7,14
9,6,9,8,6
12,9,10,12,15
12,10,6,12,12
13,7,6,7,11
7,10,7,12,6
7,6,13,12,9
12,9,14,15,9
9,11,6,7,13
14,7,12,12,13
8,13,14,13,6
8,11,8,13,9
9,6,12,13,11
8,6,7,7,8
15,7,9,10,15
11,10,6,13,11
11,14,14,10,10
8,14,15,12,9
10,15,8,6,15
6,13,12,11,6
12,11,10,13,6
8,15,10,13,11
15,15,6,14,11
10,8,11,6,15
11,14,11,8,7
7,11,11,9,9
6,15,13,8,6
11,13,15,7,7
7,14,7,13,12
15,14,14,6,14
8,12,13,7,7
11,6,8,15,9
13,9,14,8,9
12,15,9,14,12
12,13,11,7,9
10,8,12,7,15
12,13,14,14,15
12,14,15,6,7
13,9,9,15,10
6,15,14,14,9
13,12,11,6,8
7,11,12,6,6
12,15,14,11,12
12,9,6,13,11
11,12,13,10,7
13,15,13,6,6
6,10,7,12,15
10,6,8,13,9
9,12,14,8,12
8,14,13,9,7
11,11,14,9,6
11,15,6,15,13
15,13,14,15,15
7,9,13,14,12
12,9,6,10,12
9,10,6,6,6
9,14,11,6,11
12,14,15,12,10
9,11,11,13,12
